variant,dimension,value,auroc,auprc,precision,recall,f1,fpr,tpr,tp,fp,tn,fn,median_anomaly_score,paired_anomaly_gt_clean,paired_n,n,threshold
DINO_spectral_max,family,block corruption,0.819091796875,0.8731047148092772,0.8620689655172413,0.5208333333333334,0.6493506493506493,0.125,0.5208333333333334,100,16,112,92,2.585438725022927,0.9375,192,320,2.4084435327258644
DINO_spectral_max,family,blur/noise,0.881103515625,0.848062563769626,0.8048780487804879,0.6875,0.7415730337078651,0.125,0.6875,66,16,112,30,2.670158806077346,0.9583333333333334,96,224,2.4084435327258644
DINO_spectral_max,family,clipping,0.9283854166666666,0.9117250125088803,0.8181818181818182,0.75,0.7826086956521738,0.125,0.75,72,16,112,24,4.235067177676144,0.9791666666666666,96,224,2.4084435327258644
DINO_spectral_max,family,dead lines/pixels,0.9932454427083334,0.995637725467423,0.9223300970873787,0.9895833333333334,0.9547738693467336,0.125,0.9895833333333334,190,16,112,2,7.9365200241168505,1.0,192,320,2.4084435327258644
DINO_spectral_max,family,foreign/synthetic contamination,1.0,1.0,0.8571428571428571,1.0,0.923076923076923,0.125,1.0,96,16,112,0,14.943029334321734,1.0,96,224,2.4084435327258644
DINO_spectral_max,family,missing crop,0.9147135416666666,0.8878597046545249,0.8202247191011236,0.7604166666666666,0.7891891891891892,0.125,0.7604166666666666,73,16,112,23,3.5776505851379694,1.0,96,224,2.4084435327258644
DINO_spectral_max,family,patch duplication,0.6991373697916666,0.622263305660194,0.6190476190476191,0.2708333333333333,0.37681159420289856,0.125,0.2708333333333333,26,16,112,70,1.496993952975445,0.90625,96,224,2.4084435327258644
DINO_spectral_max,family,stripes,0.8811848958333334,0.8705376093856408,0.8778625954198473,0.5989583333333334,0.7120743034055729,0.125,0.5989583333333334,115,16,112,77,2.5966673764466455,0.984375,192,320,2.4084435327258644
DINO_spectral_max,severity,0.2,0.8628373579545454,0.9440439433639624,0.9304347826086956,0.6079545454545454,0.7353951890034365,0.125,0.6079545454545454,214,16,112,138,3.041091496833788,0.9517045454545454,352,480,2.4084435327258644
DINO_spectral_max,severity,0.5,0.9040305397727273,0.9612535063414624,0.9457627118644067,0.7926136363636364,0.8624420401854713,0.125,0.7926136363636364,279,16,112,73,3.4731566425049207,0.9829545454545454,352,480,2.4084435327258644
DINO_spectral_max,severity,0.8,0.90869140625,0.9642344987416855,0.9386973180076629,0.6960227272727273,0.7993474714518759,0.125,0.6960227272727273,245,16,112,107,4.62143216608559,0.9801136363636364,352,480,2.4084435327258644
pixel_DINO_mean,family,block corruption,0.7110188802083334,0.7964365019088587,0.8863636363636364,0.40625,0.5571428571428573,0.078125,0.40625,78,10,118,114,1.0318521403999514,0.8541666666666666,192,320,1.3581656666324806
pixel_DINO_mean,family,blur/noise,0.78173828125,0.7690640997564974,0.8360655737704918,0.53125,0.6496815286624203,0.078125,0.53125,51,10,118,45,1.5718616176950382,0.90625,96,224,1.3581656666324806
pixel_DINO_mean,family,clipping,0.8994954427083334,0.8988229862590728,0.8765432098765432,0.7395833333333334,0.8022598870056498,0.078125,0.7395833333333334,71,10,118,25,2.501013883091489,1.0,96,224,1.3581656666324806
pixel_DINO_mean,family,dead lines/pixels,0.8680013020833334,0.9189809251663613,0.9290780141843972,0.6822916666666666,0.7867867867867868,0.078125,0.6822916666666666,131,10,118,61,2.005291418580308,0.96875,192,320,1.3581656666324806
pixel_DINO_mean,family,foreign/synthetic contamination,0.9691569010416666,0.9611883794391445,0.8947368421052632,0.8854166666666666,0.8900523560209423,0.078125,0.8854166666666666,85,10,118,11,2.5269726335850438,1.0,96,224,1.3581656666324806
pixel_DINO_mean,family,missing crop,0.8426920572916666,0.81443226773548,0.855072463768116,0.6145833333333334,0.7151515151515152,0.078125,0.6145833333333334,59,10,118,37,1.5583056400207027,0.9375,96,224,1.3581656666324806
pixel_DINO_mean,family,patch duplication,0.67236328125,0.6259015673274305,0.75,0.3125,0.4411764705882353,0.078125,0.3125,30,10,118,66,0.9047911752309556,0.7604166666666666,96,224,1.3581656666324806
pixel_DINO_mean,family,stripes,0.9557698567708334,0.9717319224697029,0.943502824858757,0.8697916666666666,0.9051490514905148,0.078125,0.8697916666666666,167,10,118,25,2.524843449830149,1.0,192,320,1.3581656666324806
pixel_DINO_mean,severity,0.2,0.783935546875,0.9101101791053972,0.9453551912568307,0.4914772727272727,0.6467289719626167,0.078125,0.4914772727272727,173,10,118,179,1.3441957621090193,0.8948863636363636,352,480,1.3581656666324806
pixel_DINO_mean,severity,0.5,0.8502086292613636,0.9436580422913755,0.9598393574297188,0.6789772727272727,0.7953410981697172,0.078125,0.6789772727272727,239,10,118,113,1.913854708563971,0.9346590909090909,352,480,1.3581656666324806
pixel_DINO_mean,severity,0.8,0.8844992897727273,0.9589462416266638,0.9629629629629629,0.7386363636363636,0.8360128617363345,0.078125,0.7386363636363636,260,10,118,92,2.3709388653668206,0.9659090909090909,352,480,1.3581656666324806
pixel_DINO_max,family,block corruption,0.6566975911458334,0.711426213438929,0.7195121951219512,0.3072916666666667,0.4306569343065693,0.1796875,0.3072916666666667,59,23,105,133,2.040233839594,0.7760416666666666,192,320,3.046258417221116
